State,Total Funding,Funding Based on Average Number of Unemployed,Funding from Even Distribution,CRF Top-Up
Alabama,"$2,120,279,417.00","$1,620,279,417.00","$500,000,000.00",$0.00
Alaska,"$1,011,788,220.00","$511,788,220.00","$500,000,000.00",$0.00
Arizona,"$4,182,827,491.60","$3,682,827,491.60","$500,000,000.00",$0.00
Arkansas,"$1,573,121,580.80","$1,073,121,580.80","$500,000,000.00",$0.00
California,"$27,017,016,860.10","$26,517,016,860.10","$500,000,000.00",$0.00
Colorado,"$3,828,761,789.90","$3,328,761,789.90","$500,000,000.00",$0.00
Connecticut,"$2,812,288,081.60","$2,312,288,081.60","$500,000,000.00",$0.00
Delaware,"$924,597,608.00","$424,597,608.00","$500,000,000.00",$0.00
District of Columbia,"$1,802,441,116.20","$547,579,179.80","$500,000,000.00","$754,861,936.40"
Florida,"$8,816,581,838.70","$8,316,581,838.70","$500,000,000.00",$0.00
Georgia,"$4,853,535,459.70","$4,353,535,459.70","$500,000,000.00",$0.00
Hawaii,"$1,641,602,609.60","$1,141,602,609.60","$500,000,000.00",$0.00
Idaho,"$1,094,018,353.40","$594,018,353.40","$500,000,000.00",$0.00
Illinois,"$8,127,679,948.70","$7,627,679,948.70","$500,000,000.00",$0.00
Indiana,"$3,071,830,673.20","$2,571,830,673.20","$500,000,000.00",$0.00
Iowa,"$1,480,862,558.00","$980,862,558.00","$500,000,000.00",$0.00
Kansas,"$1,583,680,553.30","$1,083,680,553.30","$500,000,000.00",$0.00
Kentucky,"$2,183,237,290.90","$1,683,237,290.90","$500,000,000.00",$0.00
Louisiana,"$3,011,136,886.60","$2,511,136,886.60","$500,000,000.00",$0.00
Maine,"$997,495,130.10","$497,495,130.10","$500,000,000.00",$0.00
Maryland,"$3,717,212,336.40","$3,217,212,336.40","$500,000,000.00",$0.00
Massachusetts,"$5,286,067,526.40","$4,786,067,526.40","$500,000,000.00",$0.00
Michigan,"$6,540,417,626.70","$6,040,417,626.70","$500,000,000.00",$0.00
Minnesota,"$2,833,294,345.30","$2,333,294,345.30","$500,000,000.00",$0.00
Mississippi,"$1,806,373,345.90","$1,306,373,345.90","$500,000,000.00",$0.00
Missouri,"$2,685,296,130.80","$2,185,296,130.80","$500,000,000.00",$0.00
Montana,"$906,418,527.00","$406,418,527.00","$500,000,000.00",$0.00
Nebraska,"$1,040,157,440.40","$540,157,440.40","$500,000,000.00",$0.00
Nevada,"$2,738,837,228.70","$2,238,837,228.70","$500,000,000.00",$0.00
New Hampshire,"$994,555,877.60","$494,555,877.60","$500,000,000.00",$0.00
New Jersey,"$6,244,537,955.50","$5,744,537,955.50","$500,000,000.00",$0.00
New Mexico,"$1,751,542,835.00","$1,251,542,835.00","$500,000,000.00",$0.00
New York,"$12,744,981,589.00","$12,244,981,589.00","$500,000,000.00",$0.00
North Carolina,"$5,439,309,692.20","$4,939,309,692.20","$500,000,000.00",$0.00
North Dakota,"$1,007,502,515.00","$507,502,515.00","$500,000,000.00",$0.00
Ohio,"$5,368,386,901.00","$4,868,386,901.00","$500,000,000.00",$0.00
Oklahoma,"$1,870,417,575.70","$1,370,417,575.70","$500,000,000.00",$0.00
Oregon,"$2,648,024,988.20","$2,148,024,988.20","$500,000,000.00",$0.00
Pennsylvania,"$7,291,328,098.40","$6,791,328,098.40","$500,000,000.00",$0.00
Rhode Island,"$1,131,061,056.70","$631,061,056.70","$500,000,000.00",$0.00
South Carolina,"$2,499,067,328.50","$1,999,067,328.50","$500,000,000.00",$0.00
South Dakota,"$974,478,793.00","$474,478,793.00","$500,000,000.00",$0.00
Tennessee,"$3,725,832,113.00","$3,225,832,113.00","$500,000,000.00",$0.00
Texas,"$15,814,388,615.00","$15,314,388,615.00","$500,000,000.00",$0.00
Utah,"$1,377,866,887.60","$877,866,887.60","$500,000,000.00",$0.00
Vermont,"$1,049,287,303.00","$549,287,303.00","$500,000,000.00",$0.00
Virginia,"$4,293,727,162.20","$3,793,727,162.20","$500,000,000.00",$0.00
Washington,"$4,427,709,355.90","$3,927,709,355.90","$500,000,000.00",$0.00
West Virginia,"$1,355,489,988.00","$855,489,988.00","$500,000,000.00",$0.00
Wisconsin,"$2,533,160,626.50","$2,033,160,626.50","$500,000,000.00",$0.00
Wyoming,"$1,068,484,768.00","$568,484,768.00","$500,000,000.00",$0.00
TOTAL,"$195,300,000,000.00","$169,045,138,063.60","$25,500,000,000.00","$754,861,936.40"
,,,,
,,,,
